profile,pattern,size,original_bytes,optimised_bytes,identical
default,Custom Errors,k=1,208,164,no
default,Custom Errors,k=5,637,427,no
default,Custom Errors,k=20,1757,815,no
default,Unchecked Arithmetic,arith100,304,247,no
default,Unchecked Arithmetic,arith1000,306,249,no
default,Unchecked Arithmetic,arith5000,306,249,no
default,Unchecked Arithmetic,sload100,324,280,no
default,Unchecked Arithmetic,sload1000,326,282,no
default,Unchecked Arithmetic,sload5000,326,282,no
default,Payable Constructor,minimal,201,201,yes
default,Payable Constructor,simple,627,627,yes
default,Payable Constructor,heavy,669,669,yes
default,Named Returns,one,299,300,no
default,Named Returns,three,313,313,yes
default,Named Returns,struct,686,646,no
viair,Custom Errors,k=1,176,132,no
viair,Custom Errors,k=5,619,379,no
viair,Custom Errors,k=20,1602,566,no
viair,Unchecked Arithmetic,arith100,251,223,no
viair,Unchecked Arithmetic,arith1000,251,223,no
viair,Unchecked Arithmetic,arith5000,251,223,no
viair,Unchecked Arithmetic,sload100,301,272,no
viair,Unchecked Arithmetic,sload1000,303,274,no
viair,Unchecked Arithmetic,sload5000,303,274,no
viair,Payable Constructor,minimal,205,205,yes
viair,Payable Constructor,simple,653,653,yes
viair,Payable Constructor,heavy,707,707,yes
viair,Named Returns,one,187,187,yes
viair,Named Returns,three,230,230,yes
viair,Named Returns,struct,626,535,no
