profile,metric,pattern,size,workload,trials,original_mean,original_sd,optimised_mean,optimised_sd,saving_pct
default,deploy_cost,Custom Errors,k=1,-,10,98423.00,0.0000,88909.00,0.0000,-9.67
viair,deploy_cost,Custom Errors,k=1,-,10,91479.00,0.0000,81961.00,0.0000,-10.40
default,deploy_cost,Custom Errors,k=20,-,10,431876.00,0.0000,229548.00,0.0000,-46.85
viair,deploy_cost,Custom Errors,k=20,-,10,398590.00,0.0000,175735.00,0.0000,-55.91
default,deploy_cost,Custom Errors,k=5,-,10,190859.00,0.0000,145499.00,0.0000,-23.77
viair,deploy_cost,Custom Errors,k=5,-,10,186936.00,0.0000,135103.00,0.0000,-27.73
default,deploy_size,Custom Errors,k=1,-,10,236.00,0.0000,192.00,0.0000,-18.64
viair,deploy_size,Custom Errors,k=1,-,10,202.00,0.0000,157.00,0.0000,-22.28
default,deploy_size,Custom Errors,k=20,-,10,1786.00,0.0000,844.00,0.0000,-52.74
viair,deploy_size,Custom Errors,k=20,-,10,1629.00,0.0000,593.00,0.0000,-63.60
default,deploy_size,Custom Errors,k=5,-,10,666.00,0.0000,456.00,0.0000,-31.53
viair,deploy_size,Custom Errors,k=5,-,10,646.00,0.0000,406.00,0.0000,-37.15
default,fn_gas,Custom Errors,k1,set,10,48727.00,0.0000,48709.00,0.0000,-0.04
viair,fn_gas,Custom Errors,k1,set,10,48920.00,0.0000,48803.00,0.0000,-0.24
default,fn_gas,Custom Errors,k20,set,10,49349.00,0.0000,49286.00,0.0000,-0.13
viair,fn_gas,Custom Errors,k20,set,10,49281.00,0.0000,49194.00,0.0000,-0.18
default,fn_gas,Custom Errors,k5,set,10,48740.00,0.0000,48741.00,0.0000,0.00
viair,fn_gas,Custom Errors,k5,set,10,48703.00,0.0000,48962.00,0.0000,0.53
default,deploy_cost,Named Returns,one,-,10,117879.00,0.0000,118143.00,0.0000,0.22
default,deploy_cost,Named Returns,struct,-,10,201639.00,0.0000,192991.00,0.0000,-4.29
viair,deploy_cost,Named Returns,struct,-,10,188748.00,0.0000,169103.00,0.0000,-10.41
default,deploy_size,Named Returns,one,-,10,328.00,0.0000,329.00,0.0000,0.30
default,deploy_size,Named Returns,struct,-,10,715.00,0.0000,675.00,0.0000,-5.59
viair,deploy_size,Named Returns,struct,-,10,653.00,0.0000,562.00,0.0000,-13.94
default,fn_gas,Named Returns,one,get,10,7834.00,0.0000,7865.00,0.0000,0.40
viair,fn_gas,Named Returns,one,get,10,7604.00,0.0000,7714.00,0.0000,1.45
default,fn_gas,Named Returns,struct,get,10,14140.00,0.0000,13858.00,0.0000,-1.99
viair,fn_gas,Named Returns,struct,get,10,13793.00,0.0000,13475.00,0.0000,-2.31
default,fn_gas,Named Returns,three,get,10,10060.00,0.0000,10058.00,0.0000,-0.02
viair,fn_gas,Named Returns,three,get,10,9828.00,0.0000,10048.00,0.0000,2.24
default,deploy_cost,Payable Constructor,heavy,-,10,1706821.00,0.0000,1706603.00,0.0000,-0.01
viair,deploy_cost,Payable Constructor,heavy,-,10,1710353.00,0.0000,1710258.00,0.0000,-0.01
default,deploy_cost,Payable Constructor,minimal,-,10,119080.00,0.0000,118874.00,0.0000,-0.17
viair,deploy_cost,Payable Constructor,minimal,-,10,119908.00,0.0000,119761.00,0.0000,-0.12
default,deploy_cost,Payable Constructor,simple,-,10,269800.00,0.0000,269594.00,0.0000,-0.08
viair,deploy_cost,Payable Constructor,simple,-,10,273642.00,0.0000,273535.00,0.0000,-0.04
default,deploy_size,Payable Constructor,heavy,-,10,1643.00,0.0000,1631.00,0.0000,-0.73
viair,deploy_size,Payable Constructor,heavy,-,10,1562.00,0.0000,1557.00,0.0000,-0.32
default,deploy_size,Payable Constructor,minimal,-,10,233.00,0.0000,221.00,0.0000,-5.15
viair,deploy_size,Payable Constructor,minimal,-,10,235.00,0.0000,226.00,0.0000,-3.83
default,deploy_size,Payable Constructor,simple,-,10,1479.00,0.0000,1467.00,0.0000,-0.81
viair,deploy_size,Payable Constructor,simple,-,10,1392.00,0.0000,1387.00,0.0000,-0.36
default,fn_gas,Payable Constructor,heavy,deploy,10,1739729.00,0.0000,1739470.00,0.0000,-0.01
viair,fn_gas,Payable Constructor,heavy,deploy,10,1743453.00,0.0000,1743138.00,0.0000,-0.02
default,fn_gas,Payable Constructor,heavy,touch,10,48668.00,0.0000,48595.00,0.0000,-0.15
viair,fn_gas,Payable Constructor,heavy,touch,10,48671.00,0.0000,48623.00,0.0000,-0.10
default,fn_gas,Payable Constructor,min,deploy,10,151484.00,0.0000,151246.00,0.0000,-0.16
viair,fn_gas,Payable Constructor,min,deploy,10,152284.00,0.0000,152394.00,0.0000,0.07
default,fn_gas,Payable Constructor,min,touch,10,31597.00,0.0000,31546.00,0.0000,-0.16
viair,fn_gas,Payable Constructor,min,touch,10,31595.00,0.0000,31697.00,0.0000,0.32
default,fn_gas,Payable Constructor,runtime,bump,10,48645.00,0.0000,48615.00,0.0000,-0.06
viair,fn_gas,Payable Constructor,runtime,bump,10,48647.00,0.0000,48862.00,0.0000,0.44
default,fn_gas,Payable Constructor,simple,deploy,10,302571.00,0.0000,302336.00,0.0000,-0.08
viair,fn_gas,Payable Constructor,simple,deploy,10,306573.00,0.0000,306219.00,0.0000,-0.12
default,deploy_cost,Unchecked Arithmetic,arith100,-,10,118971.00,0.0000,106807.00,0.0000,-10.22
viair,deploy_cost,Unchecked Arithmetic,arith100,-,10,107647.00,0.0000,101591.00,0.0000,-5.63
default,deploy_cost,Unchecked Arithmetic,arith1000,-,10,119403.00,0.0000,107239.00,0.0000,-10.19
